Dad Dancing 11,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 12,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 13,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 14,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 15,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 16,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 17,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 18,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 19,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 2,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 3,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 4,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 5,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 6,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 7,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 8,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
Dad Dancing 9,"5"" x 7""",2019,Acrylic,,"Dad Dancing, the Movie",,,,,
"A R Wallace, Listening to a Tuba Player","11"" X 14"" mat",2006 - 2008,Pencil on paper,150,Drawing and Black and White Prints,,,,,
March,"11"" x 14""",2020,Pen and Ink,sold,Drawings and Black and White Prints,,,,,
Othelia Sings in a Florida Mall,"11"" x 14""",2020,Pen and Ink,150,Drawings and Black and White Prints,,,,,
Partial Openning in Houston,"11"" x 14""",2020,Pen and Ink,150,Drawings and Black and White Prints,,,,,
Advice for the Queen,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Amalia's Pearls,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Cat's Spirit,"11"" X 14"" mat",2006 - 2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
"Cezanne and Hippos, Near Caravan","11"" X 14"" mat",2006 - 2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
"Children, Gloves, and Animals","11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Choosing a Tea Pot,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Contemplating the Universe,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
Desert Nights,"11"" x 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Ellis Island,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Farmers,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Feeding the Animals,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Fishing for God,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
Flight,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Frog Legs,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Full Moon,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Head of a Girl,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Horse Race on the Steppes,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
In Flight,"11"" x 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
In the Jungle,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
In the Tent,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Island Archeology,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
It is Spring,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Italian Sunglasses,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Japenese Physicist,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Judy's Granddaughter,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Listening,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Market Place,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
